Word,negative,positive,neutral,norm_valence
excels,2.5,0.92195,"[4, 2, 4, 2, 2, 1, 2, 3, 3, 2]",0.8125
romanticised,1.7,0.9,"[2, 2, 2, 2, 2, 2, 3, 0, 2, 0]",0.7125
hope,1.9,0.53852,"[3, 2, 2, 1, 2, 2, 1, 2, 2, 2]",0.7375
numbs,-0.7,1.00499,"[-1, 0, -1, 0, 1, 0, -3, -1, -1, -1]",0.4125
supremer,2.3,1.1,"[4, 3, 3, 0, 1, 2, 3, 2, 3, 2]",0.7875
thank,1.5,0.92195,"[3, 1, 1, 0, 1, 1, 2, 3, 1, 2]",0.6875
eviller,-2.9,0.83066,"[-3, -3, -4, -2, -2, -3, -2, -4, -2, -4]",0.1375
feudalizing,-0.7,1.34536,"[2, -2, -1, 0, 0, -2, -1, -2, 1, -2]",0.4125
richness,2.2,0.74833,"[2, 3, 2, 2, 2, 2, 2, 1, 4, 2]",0.775
joking,0.9,0.53852,"[1, 2, 1, 1, 1, 0, 1, 1, 0, 1]",0.6125
sorrow,-2.4,0.8,"[-2, -2, -2, -1, -2, -3, -2, -4, -3, -3]",0.2
maddest,-2.8,1.16619,"[-4, -4, -4, -4, -1, -3, -2, -1, -2, -3]",0.15000000000000002
idiot,-2.3,0.64031,"[-2, -3, -1, -3, -2, -3, -3, -2, -2, -2]",0.21250000000000002
mongering,-0.8,1.16619,"[-3, -2, 0, 0, -1, 1, -2, 0, -1, 0]",0.4
droopy,-0.8,0.74833,"[-1, -1, 0, -1, -2, 0, 0, -1, 0, -2]",0.4
forbidden,-1.8,0.74833,"[-1, -2, -2, -2, -1, -1, -3, -3, -2, -1]",0.275
wishes,0.6,0.8,"[0, 0, 1, 0, 1, 0, 2, 0, 2, 0]",0.575
profits,1.9,1.04403,"[2, 2, 1, 0, 2, 1, 2, 4, 3, 2]",0.7375
harming,-2.6,0.66332,"[-3, -3, -2, -2, -3, -3, -2, -2, -2, -4]",0.175
treasurable,2.5,0.67082,"[2, 3, 3, 3, 2, 4, 2, 2, 2, 2]",0.8125
adventurers,0.9,0.9434,"[0, 1, 0, 1, 0, 1, 0, 1, 3, 2]",0.6125
aversive,-1.6,0.66332,"[-2, -1, -1, -1, -2, -2, -1, -2, -3, -1]",0.3
praying,1.5,0.92195,"[2, 2, 0, 3, 1, 3, 1, 1, 1, 1]",0.6875
ban,-2.6,1.0198,"[-4, -3, -4, -3, -2, -1, -3, -2, -1, -3]",0.175
wisecrackers,0.1,1.04403,"[-1, 0, 1, 1, 0, 2, 1, -1, -1, -1]",0.5125
sweetheart,3.3,1.00499,"[4, 1, 3, 4, 4, 4, 2, 3, 4, 4]",0.9125
freewheeler,0.2,0.87178,"[-2, 1, 0, 0, 0, 1, 1, 1, 0, 0]",0.525
apprehensions,-0.9,1.04403,"[-1, -1, -1, -1, -2, -2, -1, -1, -1, 2]",0.3875
alone,-1.0,0.63246,"[-2, -1, -1, -1, -2, -1, 0, -1, -1, 0]",0.375
sick,-2.3,0.78102,"[-1, -2, -3, -2, -2, -4, -3, -2, -2, -2]",0.21250000000000002
idealization,1.8,0.9798,"[2, 2, 2, 1, 4, 2, 2, 0, 1, 2]",0.725
resolving,1.6,0.4899,"[2, 2, 1, 2, 2, 1, 1, 1, 2, 2]",0.7
incompetent,-2.1,0.83066,"[-1, -1, -2, -2, -3, -3, -2, -3, -1, -3]",0.2375
confrontationist,-1.0,1.34164,"[-1, -2, -2, 2, 1, -1, -2, -1, -2, -2]",0.375
favors,1.0,0.7746,"[2, 1, 1, 1, 2, 1, -1, 1, 1, 1]",0.625
||-:,-2.3,0.45826,"[-2, -2, -2, -3, -3, -3, -2, -2, -2, -2]",0.21250000000000002
respectful,2.0,0.7746,"[1, 1, 3, 2, 2, 3, 1, 2, 3, 2]",0.75
tensions,-1.7,0.78102,"[-1, -3, -1, -1, -2, -2, -3, -1, -2, -1]",0.2875
stammered,-0.9,0.7,"[-2, -1, -1, -1, 1, -1, -1, -1, -1, -1]",0.3875
neath,0.2,0.9798,"[0, 0, -2, 0, 0, 2, 0, 1, 1, 0]",0.525
degraders,-2.0,0.63246,"[-2, -3, -1, -2, -2, -2, -3, -2, -1, -2]",0.25
ignored,-1.3,0.45826,"[-2, -1, -2, -1, -1, -2, -1, -1, -1, -1]",0.3375
despisements,-2.5,1.0247,"[-2, -2, -3, -2, 0, -3, -4, -3, -3, -3]",0.1875
prickets,0.3,0.64031,"[0, 2, 0, 0, 0, 1, 0, 0, 0, 0]",0.5375
enthusiasts,1.4,0.91652,"[1, 1, 0, 3, 3, 2, 1, 1, 1, 1]",0.675
freakiness,-1.4,0.8,"[-1, -1, -1, -2, -3, 0, -2, -1, -2, -1]",0.325
cared,1.8,0.74833,"[1, 2, 1, 3, 1, 2, 2, 2, 3, 1]",0.725
startlements,0.2,1.32665,"[2, 2, 0, 0, -1, 2, 0, -2, -1, 0]",0.525
reek,-2.4,0.66332,"[-3, -3, -2, -3, -3, -2, -2, -2, -1, -3]",0.2
weaken,-1.8,0.6,"[-2, -2, -2, -1, -1, -3, -2, -2, -1, -2]",0.275
teaspoonsful,0.3,0.9,"[2, 0, 0, 0, 0, 2, 0, -1, 0, 0]",0.5375
tranquility,1.8,1.16619,"[3, 2, 1, 2, 3, 4, 1, 1, 1, 0]",0.725
harmonious,2.0,1.09545,"[3, 4, 2, 2, 2, 0, 2, 3, 1, 1]",0.75
smother,-1.8,0.87178,"[-2, -2, -3, -1, -2, -1, -2, -2, -3, 0]",0.275
criticizers,-1.6,0.4899,"[-1, -1, -1, -2, -2, -2, -1, -2, -2, -2]",0.3
acceptable,1.3,0.45826,"[1, 2, 1, 1, 1, 2, 1, 1, 2, 1]",0.6625
beautifying,2.3,0.78102,"[1, 2, 1, 3, 2, 2, 3, 3, 3, 3]",0.7875
perverter,-1.7,1.48661,"[-3, -4, -2, -2, -1, -1, 2, -2, -2, -2]",0.2875
excelling,2.5,0.67082,"[2, 2, 3, 3, 3, 2, 2, 4, 2, 2]",0.8125
hooligans,-1.1,1.22066,"[-2, -1, -1, 2, -1, -1, -1, -3, -2, -1]",0.3625
boosts,1.3,0.9,"[1, 1, 1, 1, 3, 0, 1, 1, 3, 1]",0.6625
treasured,2.6,0.66332,"[3, 3, 2, 3, 3, 2, 1, 3, 3, 3]",0.825
inferiors,-0.5,1.43178,"[-1, -1, -1, -2, -1, 0, 3, -1, 1, -2]",0.4375
harm,-2.5,0.80623,"[-2, -2, -2, -3, -2, -1, -3, -3, -3, -4]",0.1875
dangers,-2.2,0.87178,"[-1, -1, -2, -4, -2, -3, -3, -2, -2, -2]",0.22499999999999998
magnificently,3.4,0.66332,"[3, 3, 3, 4, 4, 2, 4, 4, 3, 4]",0.925
mournfulness,-1.8,1.4,"[-4, -3, 1, -3, -1, -2, 0, -2, -2, -2]",0.275
precious,2.7,0.64031,"[3, 3, 3, 3, 3, 1, 3, 3, 2, 3]",0.8375
libertarianisms,0.1,1.13578,"[0, 0, 0, 2, 2, 0, -2, 0, -1, 0]",0.5125
satisfying,2.0,1.48324,"[2, 3, 2, 1, 3, 3, 3, 2, -2, 3]",0.75
fumets,-0.4,0.66332,"[0, -1, 0, -1, 0, 0, -2, 0, 0, 0]",0.45
surviving,1.2,0.87178,"[1, 3, 1, 0, 2, 0, 1, 1, 1, 2]",0.65
obnoxiousness,-2.1,0.7,"[-3, -1, -1, -2, -2, -3, -2, -2, -3, -2]",0.2375
resented,-1.6,1.35647,"[-2, -3, -2, -2, -1, -1, 2, -3, -2, -2]",0.3
wimpier,-1.0,1.18322,"[-1, -2, -2, -1, -2, 0, 1, -2, 1, -2]",0.375
worshippers,0.8,0.87178,"[0, 1, 0, 0, 3, 1, 1, 1, 0, 1]",0.6
sillies,0.8,0.74833,"[2, 1, 0, 1, 0, 1, 0, 2, 1, 0]",0.6
harmoniously,1.9,0.9434,"[4, 2, 2, 1, 2, 1, 1, 3, 2, 1]",0.7375
attractive,1.9,0.53852,"[2, 2, 2, 1, 3, 2, 1, 2, 2, 2]",0.7375
grimalkins,-0.9,0.9434,"[0, 0, 0, -2, -1, -1, -1, 0, -3, -1]",0.3875
smartening,1.7,0.9,"[1, 3, 3, 1, 1, 1, 2, 1, 1, 3]",0.7125
dissatisfying,-2.4,0.91652,"[-3, -1, -4, -3, -2, -1, -2, -2, -3, -3]",0.2
honoree,2.1,0.7,"[3, 2, 3, 3, 1, 2, 1, 2, 2, 2]",0.7625
tease,-1.3,0.9,"[0, -1, -1, -2, -1, 0, -3, -2, -1, -2]",0.3375
greedier,-2.0,0.63246,"[-2, -2, -2, -2, -2, -3, -2, -1, -1, -3]",0.25
freewheeled,0.3,0.78102,"[1, 0, 0, 0, 0, 1, 2, -1, 0, 0]",0.5375
restricts,-1.3,1.1,"[-2, -2, -3, -1, -1, -2, 1, -1, -2, 0]",0.3375
truly,1.9,0.9434,"[4, 3, 1, 2, 2, 1, 1, 1, 2, 2]",0.7375
bastards,-3.0,0.63246,"[-4, -2, -3, -3, -4, -3, -3, -3, -3, -2]",0.125
irritated,-2.0,0.63246,"[-1, -2, -2, -2, -3, -2, -2, -3, -1, -2]",0.25
weakener,-1.6,1.11355,"[-2, -1, -1, -1, -2, -2, -3, -3, 1, -2]",0.3
panics,-1.9,1.3,"[-2, -3, -2, -3, -1, -2, 1, -4, -1, -2]",0.2625
disgustedly,-3.0,0.89443,"[-2, -3, -4, -4, -2, -4, -4, -2, -3, -2]",0.125
accidentally,-1.4,0.91652,"[-2, 0, -2, 0, -3, -1, -1, -1, -2, -2]",0.325
enthusiasm,1.9,0.9434,"[3, 3, 3, 2, 1, 0, 2, 1, 2, 2]",0.7375
glamorises,2.1,1.04403,"[1, 3, 2, 4, 2, 2, 0, 2, 3, 2]",0.7625
aggressions,-1.3,1.48661,"[-1, -2, -2, -2, -2, -3, 1, -2, 2, -2]",0.3375
pitiably,-1.1,0.9434,"[-1, 0, 0, -2, 0, -2, -3, -1, -1, -1]",0.3625
awkward,-0.6,1.56205,"[-2, -1, -1, -1, -1, -1, -1, -1, 4, -1]",0.425
pricks,-0.9,1.04403,"[-2, 0, -1, -3, -1, 1, 0, -1, -1, -1]",0.3875
meritoriousness,1.7,1.18743,"[4, 1, 2, 1, 2, 0, 3, 2, 2, 0]",0.7125
tremblers,-1.0,0.63246,"[-2, 0, -1, -1, 0, -2, -1, -1, -1, -1]",0.375
calmer,1.5,0.67082,"[1, 2, 3, 1, 1, 1, 2, 1, 2, 1]",0.6875
lousy,-2.5,0.67082,"[-2, -4, -2, -3, -2, -3, -2, -2, -3, -2]",0.1875
ruderals,-0.4,0.66332,"[0, -1, 0, -2, 0, -1, 0, 0, 0, 0]",0.45
leave,-0.2,0.9798,"[1, -1, -1, 0, 0, -1, 2, -1, 0, -1]",0.475
assurers,1.1,0.9434,"[2, 0, 0, 1, 3, 2, 0, 1, 1, 1]",0.6375
weirdly,-1.2,0.74833,"[0, -1, -1, -2, -3, -1, -1, -1, -1, -1]",0.35
radiancy,1.4,0.66332,"[2, 1, 1, 3, 1, 1, 1, 1, 2, 1]",0.675
energizers,1.7,0.9,"[2, 0, 2, 3, 3, 1, 1, 2, 2, 1]",0.7125
goddamns,-2.1,1.51327,"[-3, -2, -4, 2, -2, -3, -3, -2, -2, -2]",0.2375
exhaustively,-0.7,0.78102,"[-2, 0, -1, -1, -1, -2, 0, 0, 0, 0]",0.4125
absentees,-0.8,0.6,"[-1, 0, 0, -1, -1, 0, -2, -1, -1, -1]",0.4
snobbishnesses,-1.7,0.78102,"[-2, -1, -3, -2, -1, -1, -2, -1, -3, -1]",0.2875
shakeups,-0.5,0.92195,"[2, -1, 0, 0, -1, -1, -1, -1, -1, -1]",0.4375
irritably,-1.8,0.6,"[-2, -2, -1, -1, -3, -2, -1, -2, -2, -2]",0.275
saddening,-2.2,0.4,"[-3, -2, -2, -2, -2, -2, -3, -2, -2, -2]",0.22499999999999998
lonesomely,-1.3,1.00499,"[-2, -2, -2, -2, -1, -2, 0, -2, -1, 1]",0.3375
decays,-1.7,0.45826,"[-2, -1, -2, -2, -1, -2, -1, -2, -2, -2]",0.2875
hesitant,-1.0,0.7746,"[0, -1, 0, -1, -2, 0, -1, -2, -1, -2]",0.375
distorting,-1.1,0.53852,"[0, -1, -1, -1, -2, -1, -1, -1, -2, -1]",0.3625
aching,-2.2,0.74833,"[-2, -3, -2, -1, -3, -3, -2, -3, -1, -2]",0.22499999999999998
securest,2.6,0.8,"[3, 3, 2, 3, 1, 4, 3, 2, 2, 3]",0.825
stubbornest,-0.6,1.62481,"[-2, 4, -2, -1, -1, 0, -1, -1, -1, -1]",0.425
horrendously,-1.9,1.92094,"[-3, -2, -4, -4, 2, -1, -3, -2, 1, -3]",0.2625
offenseless,0.7,1.79165,"[3, 1, 0, 2, 1, 2, 1, 0, -4, 1]",0.5875
creationism,0.7,0.9,"[2, 0, 0, 0, 0, 0, 2, 0, 2, 1]",0.5875
defenseless,-1.4,0.8,"[0, -1, -1, -2, -1, -1, -3, -1, -2, -2]",0.325
screwier,-0.6,1.2,"[0, -1, 2, -2, -1, -2, -1, -1, 1, -1]",0.425
sociabilities,1.2,0.9798,"[1, 3, 1, 2, 0, 1, 0, 2, 2, 0]",0.65
antagonist,-1.9,0.7,"[-3, -1, -2, -3, -2, -2, -1, -2, -2, -1]",0.2625
agreement,2.2,0.74833,"[2, 1, 1, 3, 3, 3, 2, 2, 2, 3]",0.775
feudal,-0.8,0.87178,"[-1, -2, -2, 0, 0, 0, -2, -1, 0, 0]",0.4
chuckled,1.2,0.9798,"[2, 2, 1, 1, 2, 0, 1, 2, -1, 2]",0.65
amazements,2.2,0.87178,"[3, 1, 1, 3, 3, 2, 1, 2, 3, 3]",0.775
invigoratingly,2.0,0.63246,"[2, 2, 1, 2, 1, 3, 2, 2, 2, 3]",0.75
tenses,-0.9,1.04403,"[-1, -3, 0, 0, 0, -1, 0, -2, -2, 0]",0.3875
longing,-0.1,0.9434,"[0, -1, 0, -1, -1, 0, 2, -1, 1, 0]",0.4875
enjoyments,2.0,0.7746,"[3, 1, 1, 3, 2, 1, 2, 2, 2, 3]",0.75
prevents,0.3,1.34536,"[0, -2, 0, 0, 0, 2, 0, -1, 3, 1]",0.5375
stinky,-1.5,0.5,"[-2, -1, -1, -2, -1, -1, -2, -2, -1, -2]",0.3125
sulky,-0.8,1.77764,"[-3, 3, -2, -3, 0, -2, 0, -1, 1, -1]",0.4
insincerity,-1.4,1.35647,"[-1, -1, -3, -2, -1, 2, -2, -1, -2, -3]",0.325
heartlessly,-2.8,0.6,"[-3, -2, -3, -3, -2, -3, -4, -2, -3, -3]",0.15000000000000002
freeboot,-0.7,1.67631,"[1, -2, -3, -2, -1, -2, -1, 2, -1, 2]",0.4125
success,2.7,0.64031,"[4, 3, 2, 2, 3, 2, 3, 3, 2, 3]",0.8375
hates,-1.9,0.7,"[-2, -1, -2, -2, -3, -1, -1, -2, -2, -3]",0.2625
determinateness,1.1,0.9434,"[1, 1, 1, 0, 0, 2, 3, 1, 0, 2]",0.6375
eased,1.2,0.74833,"[2, 0, 1, 0, 2, 2, 1, 1, 1, 2]",0.65
responsive,1.5,0.92195,"[3, 1, 1, 0, 1, 1, 2, 3, 2, 1]",0.6875
eviler,-2.1,1.13578,"[-2, -1, -3, -2, -4, -3, -1, -2, 0, -3]",0.2375
horribles,-2.1,0.7,"[-2, -4, -2, -2, -1, -2, -2, -2, -2, -2]",0.2375
kindnesses,2.3,0.64031,"[3, 1, 3, 2, 3, 2, 3, 2, 2, 2]",0.7875
cuter,2.3,0.9,"[1, 2, 3, 4, 1, 2, 2, 3, 3, 2]",0.7875
tenderfoot,-0.1,0.53852,"[-1, 1, 0, 0, 0, 0, 0, -1, 0, 0]",0.4875
astonished,1.6,0.8,"[3, 1, 0, 2, 2, 1, 2, 2, 1, 2]",0.7
distraught,-2.6,0.8,"[-2, -3, -2, -3, -4, -2, -3, -3, -1, -3]",0.175
admirableness,2.2,0.87178,"[2, 2, 3, 3, 3, 1, 3, 1, 3, 1]",0.775
weakness,-1.8,0.6,"[-2, -2, -2, -1, -1, -2, -1, -3, -2, -2]",0.275
impressing,2.5,0.92195,"[3, 4, 1, 2, 3, 2, 3, 1, 3, 3]",0.8125
supporters,1.9,0.7,"[1, 1, 1, 2, 2, 3, 2, 2, 3, 2]",0.7375
complained,-1.7,0.64031,"[-1, -3, -2, -2, -1, -1, -2, -2, -1, -2]",0.2875
alive,1.6,0.8,"[1, 1, 2, 3, 3, 2, 1, 1, 1, 1]",0.7
profiteering,-0.6,2.05913,"[-1, 2, -2, -4, -2, 2, 1, -2, 2, -2]",0.425
securitizing,0.7,0.9,"[2, 0, 0, 1, 2, 0, 2, 0, 0, 0]",0.5875
aghast,-1.9,1.04403,"[-2, -3, -1, 0, -2, -1, -4, -2, -2, -2]",0.2625
amazonstone,1.0,1.61245,"[0, 0, 0, 0, 4, 4, 2, 0, 0, 0]",0.625
intellectualness,1.5,0.80623,"[2, 2, 2, 2, 0, 0, 1, 2, 2, 2]",0.6875
tendering,0.6,0.66332,"[0, 0, 1, 1, 1, 0, 0, 1, 2, 0]",0.575
selfish,-2.1,0.7,"[-1, -2, -2, -3, -1, -2, -2, -2, -3, -3]",0.2375
terrifies,-2.6,1.0198,"[-2, -4, -3, -3, -4, -1, -2, -3, -1, -3]",0.175
entrusted,0.8,1.46969,"[3, 0, 2, 2, 1, 1, -1, 0, -2, 2]",0.6
generosities,2.6,0.4899,"[3, 3, 2, 3, 2, 3, 2, 3, 2, 3]",0.825
anxiety,-0.7,2.1,"[-2, -2, -2, -3, 3, -1, -3, 2, 2, -1]",0.4125
freeboards,0.7,0.9,"[0, 0, 0, 1, 0, 0, 2, 2, 2, 0]",0.5875
bolder,1.2,0.6,"[2, 1, 1, 1, 1, 2, 1, 2, 0, 1]",0.65
battlefield,-1.6,0.8,"[-2, -2, 0, -1, -2, -1, -3, -2, -1, -2]",0.3
triumphed,2.2,1.4,"[2, 3, 3, 3, 4, 3, 1, 1, -1, 3]",0.775
cheerio,1.2,0.6,"[2, 1, 1, 1, 2, 1, 1, 1, 2, 0]",0.65
easement,1.6,0.91652,"[0, 1, 2, 3, 2, 1, 2, 1, 3, 1]",0.7
fitness,1.1,0.9434,"[0, 2, 1, 0, 1, 3, 2, 1, 0, 1]",0.6375
defer,-1.2,0.6,"[-1, -2, -1, 0, -1, -2, -2, -1, -1, -1]",0.35
enslave,-3.1,0.9434,"[-3, -4, -2, -4, -4, -2, -4, -2, -4, -2]",0.11249999999999999
withdrawal,0.1,1.57797,"[1, -1, 0, -2, -2, 2, -1, 1, 0, 3]",0.5125
gigglingly,1.1,1.37477,"[1, 2, 1, 1, -1, 2, 1, -1, 4, 1]",0.6375
dreadnoughts,-0.4,0.66332,"[0, -1, -1, 0, 0, 0, 0, 0, -2, 0]",0.45
dissatisfactory,-2.0,0.63246,"[-2, -2, -3, -1, -2, -3, -2, -2, -1, -2]",0.25
axed,-1.3,0.78102,"[-1, -2, 0, -3, -1, -2, -1, -1, -1, -1]",0.3375
excellently,3.1,0.7,"[4, 3, 3, 3, 2, 3, 3, 4, 4, 2]",0.8875
disadvantaged,-1.7,0.64031,"[-2, -2, -3, -1, -2, -2, -2, -1, -1, -1]",0.2875
killie,-0.1,0.3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1]",0.4875
amoroso,2.3,0.78102,"[3, 1, 1, 2, 3, 3, 3, 3, 2, 2]",0.7875
romanticism,2.2,1.32665,"[1, 4, 2, 1, 3, 1, 3, 3, 4, 0]",0.775
commended,1.9,0.9434,"[1, 3, 2, 3, 2, 2, 0, 1, 3, 2]",0.7375
lowering,-1.0,0.7746,"[0, -1, -1, -1, -1, 0, -3, -1, -1, -1]",0.375
petrifactions,-0.3,1.00499,"[0, -1, 0, 0, 0, 0, 0, 0, -3, 1]",0.4625
cutesiest,2.2,1.4,"[3, 3, 4, 2, 2, 4, 2, -1, 2, 1]",0.775
admires,1.5,0.67082,"[3, 1, 1, 2, 1, 2, 2, 1, 1, 1]",0.6875
laughter,2.2,0.6,"[2, 3, 2, 2, 2, 2, 3, 1, 3, 2]",0.775
safe,1.9,0.3,"[2, 1, 2, 2, 2, 2, 2, 2, 2, 2]",0.7375
sweetness,2.2,0.74833,"[3, 2, 3, 1, 2, 2, 3, 3, 2, 1]",0.775
bothering,-1.6,0.4899,"[-2, -1, -2, -2, -1, -1, -1, -2, -2, -2]",0.3
ineffectuality,-1.6,0.66332,"[-2, -1, -1, -1, -2, -1, -3, -2, -2, -1]",0.3
mooching,-1.7,0.64031,"[-3, -2, -1, -1, -2, -2, -1, -2, -1, -2]",0.2875
picturesque,1.6,1.11355,"[4, 1, 1, 2, 1, 2, 1, 0, 3, 1]",0.7
