sign,negative,positive,neutral,prediction
acceptabilities,1.6,0.66332,"[0, 2, 2, 2, 1, 2, 2, 2, 1, 2]",0.6290923
acceptability,1.1,0.53852,"[1, 0, 1, 2, 1, 2, 1, 1, 1, 1]",0.7127616
acceptable,1.3,0.45826,"[1, 2, 1, 1, 1, 2, 1, 1, 2, 1]",0.67848784
acceptableness,1.3,0.9,"[1, 0, 2, 1, 2, 1, 1, 0, 2, 3]",0.64847445
acceptably,1.5,0.67082,"[3, 2, 1, 1, 1, 2, 1, 1, 2, 1]",0.6507668
acceptance,2.0,0.63246,"[3, 1, 3, 2, 1, 2, 2, 2, 2, 2]",0.63506675
acceptances,1.7,0.78102,"[3, 1, 1, 1, 2, 2, 1, 2, 3, 1]",0.6075464
acceptant,1.6,0.8,"[0, 1, 2, 2, 2, 1, 2, 1, 3, 2]",0.5983353
acceptation,1.3,0.78102,"[0, 1, 2, 1, 1, 1, 1, 3, 2, 1]",0.6473569
acceptations,0.9,0.83066,"[1, 2, 0, 2, 0, 1, 0, 2, 1, 0]",0.6246872
accepted,1.1,0.3,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",0.6547385
accepting,1.6,0.66332,"[2, 2, 2, 1, 1, 2, 1, 3, 1, 1]",0.6053408
accepts,1.3,0.45826,"[1, 2, 1, 1, 1, 2, 2, 1, 1, 1]",0.6100625
accident,-2.1,0.83066,"[-2, -2, -1, -3, -4, -2, -2, -1, -2, -2]",0.43142483
accidental,-0.3,0.45826,"[-1, -1, 0, 0, 0, 0, 0, 0, -1, 0]",0.5182033
accidentally,-1.4,0.91652,"[-2, 0, -2, 0, -3, -1, -1, -1, -2, -2]",0.49656713
accidents,-1.3,0.78102,"[-1, -1, -1, -1, -2, 0, -3, -1, -2, -1]",0.46208337
accomplish,1.8,0.6,"[1, 2, 3, 2, 2, 2, 1, 1, 2, 2]",0.6134217
accomplished,1.9,0.53852,"[2, 2, 2, 1, 2, 2, 3, 1, 2, 2]",0.6871201
accomplishes,1.7,0.9,"[2, 2, 1, 0, 2, 3, 3, 1, 1, 2]",0.6196301
accusation,-1.0,1.09545,"[-1, -1, -2, -2, -2, -1, -1, -1, 2, -1]",0.35131633
accusations,-1.3,1.26886,"[-2, -2, -1, -3, -2, -1, -1, 2, -2, -1]",0.37855574
accuse,-0.8,1.53623,"[-3, -1, -1, -2, 1, -2, 1, -2, 2, -1]",0.4381988
accused,-1.2,1.46969,"[-2, -1, -2, 2, -2, -3, -2, -2, -1, 1]",0.42500407
accuses,-1.4,1.0198,"[-2, -1, -2, 1, -2, -3, -1, -2, -1, -1]",0.33592108
accusing,-0.7,1.34536,"[-2, -1, -1, 1, -3, -1, -1, 2, -1, 0]",0.23575087
ache,-1.6,1.2,"[-1, -2, -2, -2, -1, -4, -1, 1, -2, -2]",0.42851368
ached,-1.6,0.8,"[-2, -2, -1, -2, -1, -2, -3, 0, -1, -2]",0.37906006
aches,-1.0,0.7746,"[-1, -2, -1, -1, -1, 1, -2, -1, -1, -1]",0.4234674
achievable,1.3,0.45826,"[2, 1, 1, 1, 1, 1, 1, 2, 2, 1]",0.64865
aching,-2.2,0.74833,"[-2, -3, -2, -1, -3, -3, -2, -3, -1, -2]",0.40518162
acquit,0.8,1.72047,"[-3, 3, -1, 3, 2, 1, 1, 1, 0, 1]",0.4914048
acquits,0.1,1.37477,"[1, -3, -1, 0, 2, 0, -1, 1, 1, 1]",0.51236546
acquitted,1.0,0.89443,"[2, 2, 1, 1, 2, 0, 1, 1, -1, 1]",0.52566516
acquitting,1.3,0.78102,"[3, 2, 0, 1, 1, 1, 2, 1, 1, 1]",0.5032397
acrimonious,-1.7,1.73494,"[-1, -3, -2, -3, 3, -3, -1, -2, -2, -3]",0.4531818
active,1.7,1.26886,"[1, 2, 1, 1, 1, 4, 2, 4, 0, 1]",0.5736824
actively,1.3,0.78102,"[0, 1, 0, 2, 2, 1, 1, 2, 2, 2]",0.55120105
activeness,0.6,0.8,"[0, 2, 0, 0, 1, 0, 1, 0, 2, 0]",0.6310161
activenesses,0.8,0.74833,"[2, 0, 1, 0, 0, 0, 1, 2, 1, 1]",0.6375987
actives,1.1,0.7,"[2, 1, 0, 1, 1, 0, 1, 1, 2, 2]",0.57795143
adequate,0.9,0.7,"[0, 0, 1, 1, 0, 2, 1, 1, 2, 1]",0.6204592
admirability,2.4,0.4899,"[2, 3, 3, 3, 3, 2, 2, 2, 2, 2]",0.7658749
admirable,2.6,0.66332,"[2, 3, 3, 3, 4, 3, 2, 2, 2, 2]",0.7437792
admirableness,2.2,0.87178,"[2, 2, 3, 3, 3, 1, 3, 1, 3, 1]",0.7000876
admirably,2.5,0.67082,"[2, 3, 3, 3, 4, 2, 2, 2, 2, 2]",0.7313975
admiral,1.3,1.18743,"[0, 0, 1, 3, 3, 2, 2, 0, 2, 0]",0.5650408
admirals,1.5,0.80623,"[2, 2, 0, 2, 2, 0, 1, 2, 2, 2]",0.6079982
admiralties,1.6,0.66332,"[2, 2, 2, 1, 0, 2, 2, 2, 1, 2]",0.5940673
admiralty,1.2,1.53623,"[0, 4, 0, 0, 0, 2, 2, 3, 2, -1]",0.5674235
admiration,2.5,0.80623,"[3, 1, 1, 3, 3, 2, 3, 3, 3, 3]",0.8090022
admirations,1.6,0.66332,"[2, 2, 1, 1, 2, 2, 2, 2, 2, 0]",0.7962207
admire,2.1,0.83066,"[3, 3, 1, 3, 3, 2, 1, 2, 1, 2]",0.5730397
admired,2.3,0.78102,"[4, 2, 2, 2, 2, 2, 3, 3, 1, 2]",0.5726104
admirer,1.8,0.74833,"[2, 1, 1, 2, 3, 2, 3, 1, 1, 2]",0.7316773
admirers,1.7,1.00499,"[2, 3, 2, 2, 2, 1, -1, 2, 2, 2]",0.73479676
admires,1.5,0.67082,"[3, 1, 1, 2, 1, 2, 2, 1, 1, 1]",0.6126495
admiring,1.6,0.8,"[1, 2, 1, 1, 3, 3, 2, 1, 1, 1]",0.71739995
admiringly,2.3,0.64031,"[1, 3, 3, 2, 2, 2, 2, 3, 3, 2]",0.752429
admit,0.8,1.07703,"[0, 0, 0, 0, 0, 1, 3, 2, 2, 0]",0.51245177
admits,1.2,0.87178,"[1, 2, 2, 2, 0, 0, 1, 2, 0, 2]",0.5267118
admitted,0.4,0.66332,"[0, 1, 0, 1, 0, 0, 2, 0, 0, 0]",0.5032639
admonished,-1.9,0.9434,"[-2, -2, -2, -1, -2, -3, -1, -1, -1, -4]",0.40425825
adopt,0.7,0.64031,"[0, 0, 1, 1, 1, 0, 1, 0, 1, 2]",0.59283257
adopts,0.7,0.64031,"[0, 0, 1, 2, 1, 0, 1, 1, 0, 1]",0.5548696
adorability,2.2,0.74833,"[2, 2, 2, 2, 1, 2, 3, 2, 4, 2]",0.81501675
adorable,2.2,0.6,"[3, 2, 2, 3, 2, 2, 1, 3, 2, 2]",0.8459306
adorableness,2.5,0.67082,"[2, 3, 3, 2, 3, 2, 1, 3, 3, 3]",0.85782295
adorably,2.1,0.7,"[3, 1, 2, 3, 2, 2, 1, 3, 2, 2]",0.829448
adoration,2.9,0.7,"[3, 3, 3, 2, 3, 3, 4, 2, 4, 2]",0.7780009
adorations,2.2,0.87178,"[2, 2, 3, 1, 3, 1, 3, 3, 1, 3]",0.75433195
adore,2.6,0.91652,"[3, 3, 1, 2, 3, 3, 3, 4, 1, 3]",0.6009245
adored,1.8,0.87178,"[2, 3, 3, 2, 2, 1, 1, 0, 2, 2]",0.78755563
adorer,1.7,1.1,"[2, 4, 3, 1, 2, 1, 1, 0, 2, 1]",0.73432726
adorers,2.1,0.7,"[3, 2, 1, 2, 2, 2, 3, 2, 3, 1]",0.7125682
adores,1.6,0.66332,"[2, 1, 3, 2, 2, 1, 1, 1, 2, 1]",0.8045049
adoring,2.6,0.66332,"[2, 3, 3, 3, 1, 3, 3, 2, 3, 3]",0.78603244
adoringly,2.4,0.8,"[2, 3, 2, 3, 3, 3, 3, 1, 1, 3]",0.83068025
adorn,0.9,0.53852,"[1, 1, 1, 0, 2, 1, 1, 0, 1, 1]",0.6790461
adorned,0.8,1.249,"[1, 1, 0, 2, -1, 3, -1, 2, 1, 0]",0.7735888
adorner,1.3,0.78102,"[1, 1, 1, 2, 1, 3, 1, 2, 1, 0]",0.6334268
adorners,0.9,0.9434,"[2, 2, 0, 1, -1, 2, 1, 1, 0, 1]",0.6518653
adorning,1.0,0.7746,"[0, 0, 1, 1, 1, 2, 2, 1, 0, 2]",0.75585055
adornment,1.3,0.78102,"[1, 3, 1, 0, 2, 2, 1, 1, 1, 1]",0.7424541
adornments,0.8,1.16619,"[2, -1, 0, 0, 2, 1, 2, -1, 1, 2]",0.7224552
adorns,0.5,1.56525,"[3, -1, 1, 0, 2, -1, 3, -1, 0, -1]",0.70610714
advanced,1.0,0.63246,"[1, 0, 1, 1, 1, 0, 1, 2, 1, 2]",0.63068205
advantage,1.0,0.63246,"[1, 2, 1, 1, 2, 0, 1, 0, 1, 1]",0.6387696
advantaged,1.4,0.91652,"[1, 0, 3, 0, 1, 1, 2, 2, 2, 2]",0.62778795
advantageous,1.5,0.67082,"[2, 0, 2, 2, 2, 1, 1, 1, 2, 2]",0.67642826
advantageously,1.9,0.53852,"[2, 2, 2, 3, 2, 2, 2, 1, 1, 2]",0.61298996
advantageousness,1.6,1.28062,"[-2, 2, 3, 1, 2, 2, 2, 2, 2, 2]",0.63473254
advantages,1.5,0.80623,"[1, 0, 3, 1, 1, 1, 2, 2, 2, 2]",0.6578861
advantaging,1.6,0.66332,"[3, 1, 1, 2, 1, 1, 2, 2, 2, 1]",0.602265
adventure,1.3,0.45826,"[1, 2, 1, 1, 2, 1, 1, 1, 1, 2]",0.7032495
adventured,1.3,0.45826,"[1, 2, 1, 2, 1, 2, 1, 1, 1, 1]",0.68320704
adventurer,1.2,0.6,"[1, 2, 0, 2, 1, 2, 1, 1, 1, 1]",0.6990513
adventurers,0.9,0.9434,"[0, 1, 0, 1, 0, 1, 0, 1, 3, 2]",0.7398215
adventures,1.4,1.2,"[2, 2, 1, 2, -2, 2, 2, 1, 2, 2]",0.69351757
adventuresome,1.7,1.1,"[0, 3, 0, 1, 2, 2, 3, 1, 2, 3]",0.69380313
adventuresomeness,1.3,1.00499,"[1, 0, 0, 2, 3, 2, 2, 0, 1, 2]",0.67637974
adventuress,0.8,1.72047,"[3, -1, 2, 2, 0, 0, 1, 2, -3, 2]",0.69930667
adventuresses,1.4,1.11355,"[1, 0, 0, 3, 2, 2, 3, 0, 1, 2]",0.7037287
adventuring,2.3,0.78102,"[2, 3, 2, 3, 1, 3, 3, 1, 2, 3]",0.69601154
adventurism,1.5,0.67082,"[1, 0, 2, 2, 2, 2, 1, 1, 2, 2]",0.6586818
adventurist,1.4,0.4899,"[1, 1, 2, 1, 2, 2, 2, 1, 1, 1]",0.65719163
adventuristic,1.7,0.64031,"[2, 1, 1, 2, 2, 1, 3, 2, 2, 1]",0.640247
adventurists,1.2,0.9798,"[3, 1, 0, 0, 1, 2, 1, 0, 2, 2]",0.64574605
adventurous,1.4,1.11355,"[0, 1, 2, 1, 2, 0, 3, 2, 3, 0]",0.76349646
adventurously,1.3,0.9,"[0, 1, 2, 2, 1, 2, 1, 1, 0, 3]",0.7547752
adventurousness,1.8,0.87178,"[0, 1, 3, 2, 1, 3, 2, 2, 2, 2]",0.7742012
adversarial,-1.5,0.92195,"[-2, 0, -1, -3, -2, -2, 0, -1, -2, -2]",0.4933885
adversaries,-1.0,0.63246,"[-1, -1, -1, -1, 0, -2, -2, -1, -1, 0]",0.58865035
adversary,-0.8,1.72047,"[-3, -1, -2, -2, -2, 2, 1, -1, 2, -2]",0.5604121
adversative,-1.2,0.74833,"[-1, -1, -2, -1, -1, -1, -3, -1, 0, -1]",0.53803515
adversatively,-0.1,1.37477,"[0, -2, -1, 0, -1, -1, 1, 1, 3, -1]",0.5174909
adversatives,-1.0,0.7746,"[-1, -1, -2, -1, -2, 1, -1, -1, -1, -1]",0.552879
adverse,-1.5,0.80623,"[-2, -2, -2, -1, -1, 0, -1, -3, -1, -2]",0.48643395
adversely,-0.8,1.6,"[-2, -2, 0, -2, -2, 2, -2, 2, -2, 0]",0.42456886
adverseness,-0.6,1.35647,"[-1, -2, -1, 2, -1, -2, -1, 2, -1, -1]",0.40979993
adversities,-1.5,0.67082,"[-2, -2, -1, -1, -2, 0, -2, -1, -2, -2]",0.5809655
adversity,-1.8,0.6,"[-3, -2, -1, -2, -2, -2, -1, -1, -2, -2]",0.5718846
affected,-0.6,1.35647,"[-1, -2, 0, -2, 0, 0, 2, -2, 1, -2]",0.5494096
affection,2.4,0.8,"[3, 2, 2, 3, 4, 1, 3, 2, 2, 2]",0.7513653
affectional,1.9,1.04403,"[3, 3, 2, 0, 2, 2, 2, 3, 2, 0]",0.73317176
affectionally,1.5,0.92195,"[1, 1, 3, 1, 1, 0, 2, 2, 3, 1]",0.74346626
affectionate,1.9,1.13578,"[1, 0, 3, 1, 3, 2, 2, 1, 2, 4]",0.7584904
affectionately,2.2,0.87178,"[4, 1, 1, 2, 2, 2, 3, 3, 2, 2]",0.7591622
affectioned,1.8,0.4,"[2, 2, 1, 2, 2, 1, 2, 2, 2, 2]",0.7629485
affectionless,-2.0,0.44721,"[-2, -1, -2, -2, -2, -2, -2, -2, -2, -3]",0.6027624
affections,1.5,1.11803,"[-1, 3, 2, 2, 1, 1, 2, 1, 3, 1]",0.7463065
afflicted,-1.5,1.0247,"[-1, -2, -3, -2, 1, -1, -1, -2, -2, -2]",0.42311716
affronted,0.2,2.03961,"[1, -2, 2, -2, -2, 4, 0, 2, 1, -2]",0.44341415
aggravate,-2.5,0.80623,"[-3, -3, -2, -3, -2, -4, -3, -2, -2, -1]",0.3106796
aggravated,-1.9,1.04403,"[-4, -3, -3, -1, -1, -1, -1, -2, -2, -1]",0.3036721
aggravates,-1.9,0.83066,"[-3, -2, -2, -2, -3, -1, -2, -2, 0, -2]",0.27032813
aggravating,-1.2,0.9798,"[-2, -2, -1, -2, -2, -1, 0, 1, -1, -2]",0.23416571
aggress,-1.3,1.55242,"[-2, -2, 2, -2, -1, -3, -3, -1, 1, -2]",0.32437965
aggressed,-1.4,0.4899,"[-1, -1, -1, -1, -2, -1, -2, -2, -2, -1]",0.2944056
aggresses,-0.5,1.43178,"[-1, -2, -1, -1, -3, 0, -1, 1, 2, 1]",0.31028664
aggressing,-0.6,1.28062,"[-1, -2, -1, 0, -1, -2, 2, -2, 1, 0]",0.2956899
aggression,-1.2,1.77764,"[-2, -2, 1, 1, -4, 2, -2, -2, -2, -2]",0.40700403
aggressions,-1.3,1.48661,"[-1, -2, -2, -2, -2, -3, 1, -2, 2, -2]",0.4064991
aggressive,-0.6,1.28062,"[-2, 1, -2, -2, 0, -2, -1, 1, 1, 0]",0.3138398
aggressively,-1.3,1.55242,"[-1, -2, 3, -2, -3, -2, -1, -1, -2, -2]",0.33367673
aggressiveness,-1.8,0.74833,"[-1, -2, -1, -2, -2, -1, -3, -1, -3, -2]",0.31664506
aggressivities,-1.4,1.28062,"[-1, -1, -1, -2, 2, -2, -2, -2, -3, -2]",0.3123121
aggressivity,-0.6,1.35647,"[-3, -1, 1, 0, 0, 0, -3, -1, 1, 0]",0.33872175
aggressor,-0.8,1.32665,"[-2, 0, -1, 2, -2, -2, -1, -1, -2, 1]",0.2585807
aggressors,-0.9,1.13578,"[-2, -2, -1, -1, -1, 1, 1, 0, -2, -2]",0.2868754
aghast,-1.9,1.04403,"[-2, -3, -1, 0, -2, -1, -4, -2, -2, -2]",0.41317958
agitate,-1.7,0.64031,"[-2, -2, -3, -1, -1, -1, -2, -1, -2, -2]",0.33550864
agitated,-2.0,0.63246,"[-2, -2, -2, -2, -1, -3, -3, -2, -2, -1]",0.35971895
agitatedly,-1.6,0.8,"[-1, -2, -1, -3, -1, -3, -1, -1, -2, -1]",0.39307895
agitates,-1.4,0.8,"[-2, 0, -1, -2, -1, -1, -3, -1, -2, -1]",0.34849894
agitating,-1.8,0.87178,"[-2, -1, -1, -1, -2, -3, -1, -3, -3, -1]",0.3443716
agitation,-1.0,1.09545,"[-2, -1, 1, -1, -2, -1, -2, -1, 1, -2]",0.35447642
agitational,-1.2,1.66132,"[-3, -3, -2, 1, -1, -2, 0, 2, -1, -3]",0.45393145
agitations,-1.3,1.18743,"[-1, -2, -1, -3, -2, -3, 0, -1, 1, -1]",0.3565442
agitative,-1.3,1.26886,"[-2, -2, -1, -2, -1, -3, 1, -2, 1, -2]",0.41059735
agitato,-0.1,1.13578,"[1, 2, 0, 0, 0, 0, -2, 0, -2, 0]",0.4690053
agitator,-1.4,0.8,"[-1, -1, -1, -2, -1, -1, -2, -3, -2, 0]",0.41302082
agitators,-2.1,0.9434,"[-2, -3, -3, -2, -2, -1, -3, -2, 0, -3]",0.40194422
agog,1.9,0.7,"[2, 1, 3, 3, 2, 1, 2, 2, 1, 2]",0.5144096
agonise,-2.1,0.9434,"[-3, -3, -2, -3, -1, -3, -1, -3, -1, -1]",0.4581074
agonised,-2.3,0.64031,"[-2, -3, -3, -2, -2, -2, -2, -3, -1, -3]",0.40423605
agonises,-2.4,0.91652,"[-1, -4, -3, -3, -2, -2, -2, -3, -1, -3]",0.4505469
agonising,-1.5,1.43178,"[-3, -2, -3, -3, -1, 1, 0, 0, -1, -3]",0.43712476
agonize,-2.3,0.9,"[-2, -3, -1, -2, -2, -2, -4, -1, -3, -3]",0.41416243
agonized,-2.2,1.249,"[-2, -3, -3, -3, -3, -2, -1, -3, 1, -3]",0.3833349
agonizes,-2.3,1.18743,"[-1, -3, -4, -3, -3, -2, -1, -3, 0, -3]",0.4162078
agonizing,-2.7,0.78102,"[-3, -2, -2, -2, -4, -3, -3, -2, -4, -2]",0.40675944
agonizingly,-2.3,1.48661,"[-3, -1, -3, -4, -4, -2, -3, 1, -1, -3]",0.4607888
agony,-1.8,1.16619,"[-3, -1, -2, -4, -2, -1, 0, -3, -1, -1]",0.43686527
agree,1.5,1.11803,"[1, 0, 3, 1, 2, 1, 4, 1, 1, 1]",0.6212683
agreeability,1.9,1.04403,"[1, 1, 1, 3, 3, 2, 1, 2, 4, 1]",0.6872003
agreeable,1.8,0.4,"[2, 1, 2, 1, 2, 2, 2, 2, 2, 2]",0.687714
agreeableness,1.8,0.9798,"[2, 3, 2, 1, 1, 1, 4, 1, 2, 1]",0.68954146
agreeablenesses,1.3,0.45826,"[2, 1, 1, 2, 1, 2, 1, 1, 1, 1]",0.68060887
agreeably,1.6,0.4899,"[1, 1, 2, 1, 1, 2, 2, 2, 2, 2]",0.6448092
agreed,1.1,0.53852,"[1, 1, 2, 1, 1, 2, 1, 0, 1, 1]",0.66069347
agreeing,1.4,0.4899,"[1, 1, 1, 1, 2, 1, 1, 2, 2, 2]",0.55499345
agreement,2.2,0.74833,"[2, 1, 1, 3, 3, 3, 2, 2, 2, 3]",0.58518404
agreements,1.1,1.13578,"[0, 1, 0, 1, 1, 2, 1, 0, 4, 1]",0.55937666
agrees,0.8,1.4,"[1, 1, 1, 1, 3, 1, -3, 1, 1, 1]",0.62458634
alarm,-1.4,0.91652,"[-1, -1, -2, -2, -2, -2, -1, 1, -2, -2]",0.5133764
alarmed,-1.4,0.4899,"[-2, -1, -2, -2, -1, -1, -1, -2, -1, -1]",0.43716103
alarming,-0.5,1.62788,"[-1, 1, -1, 1, -3, 1, -2, -3, 1, 1]",0.5060145
alarmingly,-2.6,0.91652,"[-3, -3, -4, -3, -2, -1, -3, -3, -1, -3]",0.52985734
alarmism,-0.3,1.26886,"[-2, 0, -2, -1, 0, 1, 1, -1, 2, -1]",0.43201864
alarmists,-1.1,1.3,"[-1, -2, -3, -2, -1, -2, 1, 1, 0, -2]",0.49426743
alarms,-1.1,1.04403,"[-2, 0, -2, -1, 0, 0, 0, -1, -2, -3]",0.48233578
alas,-1.1,1.22066,"[-1, -2, -1, 0, -1, 0, 1, -3, -1, -3]",0.5254782
alert,1.2,0.87178,"[1, 2, 0, 1, 0, 2, 2, 0, 2, 2]",0.540788
alienation,-1.1,1.51327,"[-3, -2, -3, -1, -2, -1, 2, -1, 1, -1]",0.28662375
alive,1.6,0.8,"[1, 1, 2, 3, 3, 2, 1, 1, 1, 1]",0.70377654
allergic,-1.2,0.4,"[-1, -2, -1, -2, -1, -1, -1, -1, -1, -1]",0.31431156
allow,0.9,0.83066,"[0, 0, 0, 1, 2, 2, 1, 1, 2, 0]",0.56798
alone,-1.0,0.63246,"[-2, -1, -1, -1, -2, -1, 0, -1, -1, 0]",0.5152319
alright,1.0,0.7746,"[0, 1, 0, 3, 1, 1, 1, 1, 1, 1]",0.7080203
amaze,2.5,1.0247,"[3, 2, 3, 4, 2, 3, 1, 4, 2, 1]",0.7246078
amazed,2.2,1.07703,"[1, 0, 3, 2, 2, 4, 3, 3, 2, 2]",0.77173084
amazedly,2.1,0.53852,"[2, 2, 2, 2, 3, 2, 2, 3, 1, 2]",0.76119095
amazement,2.5,0.80623,"[3, 3, 2, 4, 1, 2, 2, 3, 2, 3]",0.78829026
amazements,2.2,0.87178,"[3, 1, 1, 3, 3, 2, 1, 2, 3, 3]",0.7318076
amazes,2.2,0.9798,"[1, 0, 3, 2, 2, 3, 3, 3, 2, 3]",0.7505549
amazing,2.8,0.87178,"[1, 4, 3, 2, 4, 2, 3, 3, 3, 3]",0.8449242
amazon,0.7,0.64031,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 2]",0.67806077
amazonite,0.2,0.6,"[0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",0.68862045
amazons,-0.1,0.3,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0]",0.69056916
amazonstone,1.0,1.61245,"[0, 0, 0, 0, 4, 4, 2, 0, 0, 0]",0.65222466
amazonstones,0.2,0.6,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0.69634014
ambitious,2.1,0.53852,"[2, 3, 2, 2, 2, 2, 2, 2, 3, 1]",0.51354223
ambivalent,0.5,0.92195,"[0, 0, -1, 2, 1, 1, 1, -1, 1, 1]",0.55035836
amor,3.0,0.63246,"[3, 3, 2, 4, 3, 2, 4, 3, 3, 3]",0.60100853
amoral,-1.6,0.66332,"[-1, -2, 0, -2, -2, -2, -2, -2, -1, -2]",0.49403393
amoralism,-0.7,1.34536,"[-2, -1, -2, 0, 0, -3, 2, 0, -1, 0]",0.4983261
amoralisms,-0.7,1.00499,"[-2, 0, 1, -1, -2, -1, -1, 1, -1, -1]",0.51469094
amoralities,-1.2,1.6,"[-3, 0, 0, -2, 1, -1, 0, -4, -3, 0]",0.55135435
amorality,-1.5,0.92195,"[0, -1, -1, -2, -1, -3, -1, -3, -2, -1]",0.6372509
amorally,-1.0,1.61245,"[-2, 0, 1, -4, -1, 1, 1, -2, -2, -2]",0.5819457
amoretti,0.2,0.4,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1]",0.66131216
amoretto,0.6,0.8,"[0, 1, 0, 1, 0, 0, 2, 0, 0, 2]",0.6674177
amorettos,0.3,0.64031,"[0, 1, 0, 1, 0, 0, 0, 1, 1, -1]",0.6564751
amorino,1.2,0.87178,"[2, 1, 1, 0, 3, 1, 1, 0, 1, 2]",0.62856954
amorist,1.6,1.0198,"[3, 0, 0, 2, 2, 1, 3, 1, 2, 2]",0.518806
amoristic,1.0,1.67332,"[1, 0, 2, 3, -1, 3, 1, 3, 0, -2]",0.4885873
amorists,0.1,0.9434,"[0, 2, 0, 0, 1, 0, -2, 0, 0, 0]",0.5670426
amoroso,2.3,0.78102,"[3, 1, 1, 2, 3, 3, 3, 3, 2, 2]",0.53541344
amorous,1.8,0.9798,"[3, 1, 2, 2, 1, 1, 3, 0, 2, 3]",0.60783494
amorously,2.3,0.78102,"[1, 1, 3, 2, 3, 3, 2, 3, 2, 3]",0.55340034
amorousness,2.0,0.89443,"[2, 3, 1, 2, 0, 2, 2, 3, 3, 2]",0.62515545
amorphous,-0.2,0.4,"[0, 0, 0, 0, 0, 0, -1, 0, 0, -1]",0.46313483
