sign,negative,positive,neutral,predicted,loss
stealthiness,0.2,0.74833,"[1, 0, 0, -1, 1, 0, -1, 0, 1, 1]",0.20285273,0.0028527259826660045
horribly,-2.4,0.66332,"[-2, -2, -2, -2, -2, -4, -3, -3, -2, -2]",-2.403025,0.003024911880493253
axe,-0.4,0.8,"[-2, 0, 0, 0, 0, 0, -1, -1, -1, 1]",-0.40302944,0.0030294418334960715
crazing,-0.5,0.80623,"[0, 0, 0, 0, -2, -1, -2, 0, 0, 0]",-0.4968629,0.0031371116638183594
hurters,-1.9,1.04403,"[-2, -3, -1, -2, -1, 0, -3, -3, -3, -1]",-1.9031789,0.0031789302825928623
apology,0.2,1.249,"[1, 1, 1, 1, -1, 1, -1, -1, -2, 2]",0.20358229,0.0035822868347167858
carefree,1.7,0.64031,"[1, 1, 2, 2, 2, 2, 1, 1, 2, 3]",1.7036023,0.0036023139953613725
borecole,-0.2,0.74833,"[1, 0, 0, 0, -1, -2, 0, 0, 0, 0]",-0.20378304,0.0037830352783203014
pressurizations,-0.3,1.00499,"[0, 0, 1, -2, 0, 0, -1, -2, 0, 1]",-0.29604673,0.003953266143798817
irritable,-2.1,0.7,"[-2, -2, -3, -1, -2, -1, -3, -2, -3, -2]",-2.1040468,0.004046821594238192
beauteousness,2.7,1.00499,"[1, 3, 4, 3, 4, 1, 2, 3, 3, 3]",2.6954317,0.004568290710449396
energetic,1.9,0.53852,"[2, 1, 3, 2, 2, 2, 1, 2, 2, 2]",1.90551,0.005509948730468839
poorest,-2.5,0.80623,"[-2, -3, -3, -1, -2, -3, -3, -4, -2, -2]",-2.5055494,0.005549430847167969
incompetence,-2.3,0.45826,"[-3, -2, -2, -3, -2, -3, -2, -2, -2, -2]",-2.3059433,0.005943250656128107
suspect,-1.2,0.9798,"[0, -1, -1, -2, -2, -2, 1, -1, -2, -2]",-1.2062864,0.006286430358886763
infringement,-2.1,0.83066,"[-3, -1, -2, -1, -2, -1, -3, -3, -2, -3]",-2.1067984,0.006798410415649325
joyfully,2.5,0.67082,"[2, 2, 3, 3, 2, 2, 3, 4, 2, 2]",2.4926758,0.00732421875
sincere,1.7,0.78102,"[1, 2, 3, 0, 2, 2, 2, 2, 1, 2]",1.7074652,0.007465171813964888
sulking,-1.5,0.67082,"[-2, -1, -3, -1, -1, -2, -1, -2, -1, -1]",-1.4925115,0.0074884891510009766
abandons,-1.3,0.9,"[-2, -1, -1, -2, -1, -2, -1, -2, 1, -2]",-1.2925086,0.00749139785766606
horribleness,-2.4,0.4899,"[-3, -3, -2, -2, -3, -2, -2, -3, -2, -2]",-2.4077249,0.0077248573303223544
traumatised,-2.4,0.91652,"[-4, -4, -2, -2, -1, -2, -3, -2, -2, -2]",-2.407757,0.007757043838501065
gossiped,-1.1,0.53852,"[-1, -1, -1, -1, -1, -1, 0, -1, -2, -2]",-1.0917292,0.008270835876464933
dwells,-0.1,0.53852,"[0, 0, 0, 0, -1, 1, -1, 0, 0, 0]",-0.108490944,0.0084909439086914
warmouths,-0.8,1.32665,"[-1, -1, -2, -1, -2, -2, 0, 2, 1, -2]",-0.79093933,0.009060668945312544
borecoles,-0.3,0.45826,"[-1, 0, 0, 0, 0, 0, -1, 0, -1, 0]",-0.3091669,0.009166908264160167
exploration,0.9,0.7,"[2, 2, 0, 1, 1, 0, 1, 0, 1, 1]",0.9091878,0.009187793731689431
agitatedly,-1.6,0.8,"[-1, -2, -1, -3, -1, -3, -1, -1, -2, -1]",-1.6094468,0.009446763992309481
sigh,0.1,1.22066,"[2, -1, -1, -1, 0, 2, 1, 1, -1, -1]",0.10946989,0.009469890594482416
luckie,1.6,0.66332,"[1, 1, 1, 2, 2, 1, 1, 2, 2, 3]",1.6101074,0.010107421874999911
challenges,0.3,1.48661,"[0, -1, 2, -1, -2, 0, 3, 0, 2, 0]",0.28972054,0.010279464721679676
impressively,2.0,0.89443,"[3, 1, 1, 2, 2, 2, 2, 4, 2, 1]",2.0102954,0.010295391082763672
charmingest,2.4,0.66332,"[2, 3, 3, 1, 3, 2, 3, 3, 2, 2]",2.4103746,0.01037464141845712
sentimentalise,1.2,0.87178,"[2, 1, 0, 3, 2, 1, 1, 0, 1, 1]",1.211154,0.011153984069824263
disadvantaged,-1.7,0.64031,"[-2, -2, -3, -1, -2, -2, -2, -1, -1, -1]",-1.6888392,0.011160802841186479
criticizes,-1.4,0.66332,"[-1, -1, -2, -1, -1, -1, -3, -1, -2, -1]",-1.3887987,0.01120128631591788
inferiors,-0.5,1.43178,"[-1, -1, -1, -2, -1, 0, 3, -1, 1, -2]",-0.48874187,0.011258125305175781
favorably,1.6,0.66332,"[2, 1, 1, 1, 1, 2, 2, 2, 3, 1]",1.5878396,0.012160396575927823
interestedly,1.5,0.67082,"[2, 2, 2, 1, 2, 1, 2, 1, 0, 2]",1.4877815,0.012218475341796875
dedicated,2.0,0.44721,"[2, 2, 2, 2, 2, 2, 2, 1, 3, 2]",2.012323,0.01232290267944336
helplessness,-2.1,0.9434,"[-2, -4, -1, -2, -1, -3, -3, -2, -1, -2]",-2.0876055,0.012394523620605558
impressive,2.3,0.78102,"[1, 2, 3, 2, 3, 2, 3, 3, 3, 1]",2.3124876,0.012487602233886896
dangerousness,-2.0,0.44721,"[-2, -3, -2, -1, -2, -2, -2, -2, -2, -2]",-2.0126226,0.012622594833374023
debt,-1.5,1.0247,"[-2, -1, -2, -3, 1, -2, -2, -1, -1, -2]",-1.5126486,0.012648582458496094
poison,-2.5,0.92195,"[-4, -3, -2, -4, -2, -2, -2, -3, -1, -2]",-2.5126595,0.012659549713134766
gossipmongers,-1.4,0.66332,"[-2, -1, -1, -1, -2, -2, -1, 0, -2, -2]",-1.3872552,0.012744808197021396
numberable,0.6,0.91652,"[0, 2, 0, 0, 0, 2, 2, 0, 0, 0]",0.587193,0.01280698776245115
joys,2.2,0.4,"[2, 2, 2, 2, 2, 3, 2, 3, 2, 2]",2.212823,0.012822914123534979
heartbreaks,-1.8,1.77764,"[-2, 1, -3, -2, -3, -2, -3, 2, -4, -2]",-1.813122,0.013122034072875932
poisoner,-2.7,0.78102,"[-2, -3, -3, -4, -4, -2, -2, -2, -2, -3]",-2.7131982,0.013198184967040838
calmly,1.3,0.9,"[0, 0, 1, 3, 2, 2, 1, 1, 2, 1]",1.2865615,0.013438510894775435
shortage,-1.0,1.09545,"[-2, -2, -1, -2, -1, -1, 2, -1, -1, -1]",-1.0135918,0.013591766357421875
thankfulness,2.1,1.44568,"[3, 3, 4, 2, 2, 1, -1, 1, 2, 4]",2.0863614,0.01363859176635751
grievance,-2.1,0.53852,"[-2, -2, -3, -2, -2, -3, -2, -1, -2, -2]",-2.1139865,0.013986492156982333
gentle,1.9,0.53852,"[2, 2, 2, 1, 2, 3, 2, 2, 1, 2]",1.9141598,0.014159774780273526
faithfully,1.8,1.07703,"[3, 1, 2, 2, 4, 1, 0, 1, 2, 2]",1.7858067,0.014193344116210982
gracefulness,2.2,0.6,"[3, 2, 1, 2, 2, 2, 3, 2, 2, 3]",2.1855798,0.014420223236084162
depressors,-1.7,0.9,"[-1, -1, -1, -2, -1, -2, -4, -2, -2, -1]",-1.6854434,0.014556598663330034
acceptable,1.3,0.45826,"[1, 2, 1, 1, 1, 2, 1, 1, 2, 1]",1.2853546,0.014645385742187544
lowercased,-0.2,0.4,"[0, -1, 0, 0, 0, 0, -1, 0, 0, 0]",-0.21476316,0.01476316452026366
lonelier,-1.4,0.66332,"[-2, -1, -2, -2, 0, -2, -1, -1, -1, -2]",-1.3846583,0.015341663360595614
chastising,-1.7,0.78102,"[-2, -3, -2, -2, -2, 0, -1, -1, -2, -2]",-1.715498,0.015497970581054732
woe,-1.8,0.6,"[-3, -2, -2, -2, -1, -1, -2, -1, -2, -2]",-1.8155663,0.015566301345825151
defences,-0.2,1.16619,"[0, 0, 0, 1, -2, -1, 0, -2, 0, 2]",-0.18428373,0.01571626663208009
terrorize,-3.3,0.78102,"[-4, -4, -3, -3, -4, -2, -2, -4, -3, -4]",-3.3162222,0.01622219085693377
dominate,-0.5,0.92195,"[0, -1, 1, -1, 1, -1, -2, 0, -1, -1]",-0.4836874,0.016312599182128906
chastised,-2.2,1.16619,"[-2, -3, -2, -4, -1, -1, -3, 0, -3, -3]",-2.1836555,0.016344499588012873
humoresque,1.2,0.6,"[1, 1, 1, 2, 1, 2, 2, 1, 1, 0]",1.2165294,0.01652936935424809
longings,0.4,1.2,"[2, 0, -1, -1, 0, 1, 3, 0, 0, 0]",0.41656876,0.016568756103515603
punishabilities,-1.7,0.78102,"[0, -2, -3, -2, -1, -2, -2, -1, -2, -2]",-1.716605,0.016604948043823287
excitedly,2.3,0.9,"[3, 3, 2, 3, 1, 3, 1, 3, 1, 3]",2.2833767,0.016623306274413885
bitchiness,-2.6,0.66332,"[-3, -3, -2, -2, -3, -3, -1, -3, -3, -3]",-2.5833468,0.016653156280517667
fantasticalities,2.1,1.04403,"[2, 4, 2, 2, 1, 1, 2, 4, 1, 2]",2.1168838,0.01688375473022452
contagion,-2.0,1.18322,"[-1, 0, -2, -1, -2, -4, -2, -4, -2, -2]",-1.9829986,0.01700139045715332
uneasy,-1.6,0.4899,"[-1, -2, -2, -1, -1, -2, -2, -1, -2, -2]",-1.5829566,0.017043447494506925
fraud,-2.8,0.6,"[-3, -3, -2, -3, -2, -3, -3, -2, -4, -3]",-2.7828467,0.01715331077575666
dumbcane,-0.3,0.45826,"[0, 0, 0, 0, 0, -1, -1, 0, -1, 0]",-0.31724072,0.01724071502685548
contempts,-1.0,1.48324,"[-2, -2, -1, 0, 1, -1, -2, -3, 2, -2]",-1.0173688,0.017368793487548828
snobby,-1.7,1.00499,"[-1, -1, -1, -3, -2, -2, 0, -3, -3, -1]",-1.717416,0.017416048049926802
intelligences,1.6,0.91652,"[3, 0, 0, 2, 2, 2, 2, 1, 2, 2]",1.5824051,0.01759490966796884
collide,-0.3,1.61555,"[-3, 0, -1, 3, 0, -1, -1, 2, -1, -1]",-0.28229237,0.017707633972167958
craze,-0.6,1.49666,"[0, -3, -1, -1, -2, 0, 0, -1, 3, -1]",-0.5822849,0.017715072631835915
irresponsible,-1.9,0.3,"[-2, -2, -2, -2, -2, -2, -1, -2, -2, -2]",-1.882168,0.017831945419311435
failures,-2.0,0.63246,"[-1, -2, -1, -2, -3, -2, -2, -3, -2, -2]",-1.9819348,0.018065214157104492
teasel,-0.1,0.3,"[0, -1, 0, 0, 0, 0, 0, 0, 0, 0]",-0.081683636,0.018316364288330084
abusiveness,-2.5,0.92195,"[-2, -4, -2, -3, -2, -3, -4, -2, -1, -2]",-2.4815168,0.01848316192626953
deceit,-2.0,1.34164,"[-3, -2, -2, -3, -3, 0, 1, -2, -3, -3]",-2.018552,0.018552064895629883
dignity,1.7,0.9,"[0, 3, 2, 1, 2, 1, 2, 3, 1, 2]",1.6812186,0.01878137588500972
playing,0.8,0.87178,"[0, 2, 2, 1, 0, 0, 2, 0, 0, 1]",0.8188119,0.01881189346313472
teaseling,-0.4,0.91652,"[-1, 0, -3, 0, 0, 0, 0, 0, 0, 0]",-0.38106298,0.018937015533447288
gladly,1.4,0.4899,"[2, 2, 1, 2, 1, 1, 2, 1, 1, 1]",1.3808446,0.019155406951904208
number,0.3,0.64031,"[0, 0, 1, 0, 0, 2, 0, 0, 0, 0]",0.31917953,0.019179534912109386
totalitarianism,-2.7,1.18743,"[-2, -3, 0, -4, -2, -4, -4, -2, -3, -3]",-2.719235,0.0192349433898924
contentedly,1.9,0.9434,"[3, 1, 2, 3, 2, 3, 0, 2, 1, 2]",1.8805876,0.019412422180175692
intricate,0.6,0.66332,"[1, 0, 2, 1, 0, 1, 1, 0, 0, 0]",0.5803509,0.01964912414550779
gossipries,-0.8,0.6,"[-1, -1, -1, 0, -1, 0, -1, 0, -2, -1]",-0.7803216,0.01967840194702153
pitiers,-1.3,0.9,"[0, -1, -2, -2, -1, -1, -1, -3, -2, 0]",-1.2801051,0.019894886016845748
intellectively,0.8,0.9798,"[0, 0, 1, 1, 0, 3, 0, 1, 2, 0]",0.8204751,0.02047510147094722
welcomed,1.4,0.4899,"[1, 1, 2, 2, 1, 2, 1, 2, 1, 1]",1.3793292,0.02067079544067374
powerful,1.8,0.9798,"[4, 0, 2, 1, 2, 2, 2, 2, 1, 2]",1.8206797,0.020679664611816362
alive,1.6,0.8,"[1, 1, 2, 3, 3, 2, 1, 1, 1, 1]",1.5790372,0.02096281051635751
festivalgoer,1.3,1.1,"[1, 3, 2, 3, 0, 0, 1, 2, 0, 1]",1.2788916,0.0211084365844727
await,0.4,0.4899,"[0, 0, 0, 1, 0, 1, 0, 1, 1, 0]",0.37882185,0.021178150177001975
worshiping,1.0,1.18322,"[0, 3, 0, 3, 0, 1, 1, 2, 0, 0]",0.9787197,0.021280288696289062
unhappiest,-2.5,0.80623,"[-3, -4, -3, -2, -1, -3, -2, -2, -2, -3]",-2.4786906,0.021309375762939453
weakliest,-2.1,0.83066,"[-2, -2, -2, -2, -3, -1, -2, -1, -4, -2]",-2.1215844,0.021584415435790927
unhappier,-2.4,0.8,"[-2, -2, -1, -4, -3, -3, -2, -2, -2, -3]",-2.421687,0.021686887741088956
dynamiters,0.4,1.42829,"[0, 0, 0, -3, 1, 0, 2, 2, 2, 0]",0.42208958,0.022089576721191384
grace,1.8,0.4,"[2, 1, 2, 2, 1, 2, 2, 2, 2, 2]",1.8223472,0.02234716415405269
smarties,1.7,0.9,"[1, 1, 2, 4, 2, 2, 1, 2, 1, 1]",1.677454,0.022546005249023393
vociferous,-0.8,0.9798,"[1, -2, -1, -2, -1, -1, 1, -1, -1, -1]",-0.77741003,0.02258996963500981
trivialize,-1.1,0.53852,"[0, -2, -2, -1, -1, -1, -1, -1, -1, -1]",-1.1230607,0.023060703277587802
combats,-0.8,1.16619,"[0, -2, -3, -1, 0, 0, 0, -1, 1, -2]",-0.7767544,0.023245620727539107
congrats,2.4,0.91652,"[1, 3, 3, 3, 2, 2, 4, 1, 2, 3]",2.4234047,0.023404693603515714
toughy,-0.5,1.11803,"[-1, -2, -1, 0, -1, -1, 1, -1, 2, -1]",-0.47651815,0.02348184585571289
favors,1.0,0.7746,"[2, 1, 1, 1, 2, 1, -1, 1, 1, 1]",0.97645044,0.023549556732177734
idealists,0.7,1.1,"[0, -2, 1, 2, 1, 1, 2, 0, 1, 1]",0.6763568,0.023643207550048784
toughened,0.1,0.53852,"[1, 0, 0, 0, 0, -1, 1, 0, 0, 0]",0.123659134,0.023659133911132807
cared,1.8,0.74833,"[1, 2, 1, 3, 1, 2, 2, 2, 3, 1]",1.7761984,0.02380161285400395
grandee,1.1,0.83066,"[0, 1, 1, 0, 1, 1, 2, 1, 3, 1]",1.123847,0.023847007751464755
splendrous,2.2,1.16619,"[4, 4, 3, 2, 1, 1, 3, 1, 2, 1]",2.2240071,0.024007129669189275
antagonized,-1.4,0.66332,"[-2, -1, -2, -2, -1, 0, -2, -1, -1, -2]",-1.4245625,0.0245624542236329
immorality,-0.6,2.2891,"[3, -3, 1, 2, 2, -2, -4, -1, -2, -2]",-0.57537603,0.024623966217040993
huggers,1.8,0.6,"[1, 3, 1, 2, 1, 2, 2, 2, 2, 2]",1.8246965,0.024696540832519487
confuses,-1.3,0.45826,"[-1, -2, -1, -1, -1, -1, -1, -1, -2, -2]",-1.275217,0.024782943725585982
killocks,-0.4,0.66332,"[0, 0, 0, -2, -1, 0, -1, 0, 0, 0]",-0.42485094,0.02485094070434568
overlooked,-0.1,1.44568,"[-1, -2, -1, -1, 2, 0, -1, 2, -1, 2]",-0.07511854,0.02488145828247071
impressionist,1.0,1.09545,"[0, 2, 3, 0, 0, 2, 2, 0, 1, 0]",1.0249329,0.024932861328125
trembles,-0.1,1.51327,"[-1, -2, -1, 0, -1, 2, 2, -2, 2, 0]",-0.07498503,0.025014972686767584
hopefully,1.7,0.78102,"[1, 3, 1, 3, 1, 2, 1, 1, 2, 2]",1.7250257,0.025025653839111373
fighters,-0.2,1.46969,"[-1, 2, -2, 0, 2, 0, -2, -2, 0, 1]",-0.22548723,0.025487232208251942
hurtle,-0.3,1.1,"[-2, 1, 0, -1, -1, -1, 0, 2, 0, -1]",-0.2743187,0.025681304931640614
exciting,2.2,0.87178,"[3, 2, 1, 1, 1, 3, 3, 3, 2, 3]",2.2257938,0.025793838500976385
defeater,-1.4,0.8,"[-2, -1, -1, -3, -2, -1, -2, -1, 0, -1]",-1.4257965,0.02579650878906259
inadequate,-1.7,0.64031,"[-2, -1, -1, -3, -1, -1, -2, -2, -2, -2]",-1.7259326,0.025932598114013716
successive,1.1,1.13578,"[3, 0, 0, 1, 3, 2, 1, 0, 1, 0]",1.0735726,0.026427364349365323
solemnize,0.3,0.78102,"[1, -1, 0, 2, 0, 0, 1, 0, 0, 0]",0.32652807,0.026528072357177745
romanticise,1.7,1.61555,"[-1, 4, 2, 1, 3, 1, 3, 3, 2, -1]",1.726686,0.026686000823974654
spamming,-2.1,0.83066,"[-3, -3, -1, -3, -2, -1, -2, -2, -1, -3]",-2.126945,0.026945018768310458
meritocracy,0.6,1.35647,"[2, 4, 0, 0, 1, -1, 0, 0, 0, 0]",0.57301855,0.026981449127197243
dreadlock,-0.4,0.66332,"[0, 0, 0, 0, 0, -1, -2, 0, -1, 0]",-0.37293863,0.02706136703491213
torture,-2.9,1.51327,"[-4, -4, -3, -4, 1, -2, -3, -2, -4, -4]",-2.927084,0.027083969116211026
magnifico,1.8,0.87178,"[2, 1, 1, 2, 1, 1, 3, 3, 3, 1]",1.7724347,0.027565288543701216
dissatisfies,-1.8,0.74833,"[-3, -3, -1, -1, -2, -1, -2, -2, -2, -1]",-1.8277612,0.02776117324829097
surefire,1.0,0.7746,"[1, 1, 0, 2, 2, 1, 0, 1, 2, 0]",0.9721303,0.027869701385498047
thankfullest,2.0,1.0,"[3, 1, 1, 4, 1, 2, 2, 2, 3, 1]",1.9720955,0.027904510498046875
agitative,-1.3,1.26886,"[-2, -2, -1, -2, -1, -3, 1, -2, 1, -2]",-1.2719507,0.028049278259277388
keened,0.3,1.00499,"[-2, 0, 1, 0, 1, 1, 0, 2, 0, 0]",0.27180338,0.0281966209411621
starves,-2.3,0.78102,"[-3, -2, -2, -3, -2, -3, -1, -1, -3, -3]",-2.328384,0.028383922576904475
innovation,1.6,0.91652,"[1, 0, 3, 2, 1, 2, 3, 2, 1, 1]",1.5714116,0.028588390350341886
accidental,-0.3,0.45826,"[-1, -1, 0, 0, 0, 0, 0, 0, -1, 0]",-0.2713642,0.028635787963867176
weaknesses,-1.5,0.5,"[-2, -2, -1, -1, -2, -1, -1, -2, -1, -2]",-1.5286856,0.028685569763183594
freemasonry,0.3,0.64031,"[1, 0, 2, 0, 0, 0, 0, 0, 0, 0]",0.2712407,0.028759288787841786
tumor,-1.6,1.49666,"[-3, -2, -2, -1, -2, 1, -4, 1, -2, -2]",-1.5711417,0.028858280181884854
tranquillizer,-0.1,0.7,"[0, 1, 0, 0, -1, 0, 1, 0, -1, -1]",-0.12886381,0.028863811492919916
charged,-0.8,0.87178,"[-1, -2, -2, -1, -1, 0, -1, 1, 0, -1]",-0.77084255,0.02915744781494145
spirited,1.3,1.00499,"[1, 1, 0, 1, 1, 3, 2, 3, 0, 1]",1.2707477,0.029252338409423873
weepie,-0.4,0.91652,"[0, 1, -1, 0, -1, -2, 0, -1, -1, 1]",-0.3706088,0.0293911933898926
adversatively,-0.1,1.37477,"[0, -2, -1, 0, -1, -1, 1, 1, 3, -1]",-0.12941885,0.029418849945068354
emptier,-0.7,0.64031,"[-1, 0, 0, 0, -1, -1, -1, -2, 0, -1]",-0.6704645,0.0295354843139648
conflicting,-1.7,0.64031,"[-1, -2, -3, -1, -2, -1, -2, -1, -2, -2]",-1.6699185,0.030081462860107377
prickles,-0.8,0.74833,"[0, -1, -1, -1, -2, -1, 0, 0, 0, -2]",-0.76970816,0.030291843414306685
attractivenesses,2.1,0.7,"[2, 1, 2, 3, 2, 3, 3, 1, 2, 2]",2.0696502,0.03034982681274423
prizefighting,0.4,0.91652,"[0, 0, 0, 1, 0, 3, 0, 0, 0, 0]",0.36956835,0.03043165206909182
grossness,-1.8,0.6,"[-2, -2, -1, -1, -1, -3, -2, -2, -2, -2]",-1.8305602,0.030560207366943315
proudful,1.9,1.51327,"[3, 3, 0, 1, -1, 1, 4, 3, 2, 3]",1.8693247,0.030675315856933505
screwier,-0.6,1.2,"[0, -1, 2, -2, -1, -2, -1, -1, 1, -1]",-0.56931067,0.030689334869384743
sentimentalised,0.8,1.16619,"[2, 1, 1, 0, 0, 2, 3, -1, 0, 0]",0.7692971,0.03070287704467778
pleasurable,2.4,0.4899,"[2, 3, 3, 2, 3, 3, 2, 2, 2, 2]",2.3692265,0.03077354431152335
criticizing,-1.5,0.67082,"[-1, -1, -1, -2, -2, -1, -2, -1, -3, -1]",-1.5308955,0.030895471572875977
accepted,1.1,0.3,"[1, 1, 1, 1, 1, 2, 1, 1, 1, 1]",1.0689745,0.031025505065918058
dynamite,0.7,2.2383,"[-3, 2, 3, 1, 2, 0, 2, 2, 2, -4]",0.7310486,0.031048583984375044
funnels,0.4,0.66332,"[0, 0, 0, 1, 0, 0, 0, 0, 2, 1]",0.43106508,0.031065082550048806
fatiguing,-1.2,0.6,"[-1, -2, -2, -1, 0, -2, -1, -1, -1, -1]",-1.2310748,0.031074810028076216
satisfiable,1.9,0.83066,"[3, 1, 2, 1, 2, 3, 1, 2, 3, 1]",1.868834,0.03116598129272452
kindnesses,2.3,0.64031,"[3, 1, 3, 2, 3, 2, 3, 2, 2, 2]",2.331863,0.031862926483154475
agitating,-1.8,0.87178,"[-2, -1, -1, -1, -2, -3, -1, -3, -3, -1]",-1.8320062,0.03200621604919429
insultingly,-2.3,0.78102,"[-3, -3, -1, -2, -2, -3, -2, -1, -3, -3]",-2.3322957,0.03229565620422381
amazedly,2.1,0.53852,"[2, 2, 2, 2, 3, 2, 2, 3, 1, 2]",2.067494,0.03250608444213876
resolvable,1.0,0.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.96709824,0.032901763916015625
reeked,-2.0,1.09545,"[-4, -3, -2, -3, -1, -2, 0, -1, -2, -2]",-1.96697,0.033030033111572266
significant,0.8,0.9798,"[1, 0, 1, 3, 0, 1, 0, 0, 2, 0]",0.76696587,0.03303413391113286
courtesy,1.5,0.67082,"[1, 1, 2, 3, 1, 2, 1, 1, 2, 1]",1.4668503,0.03314971923828125
shakeup,-0.6,0.4899,"[-1, 0, -1, -1, -1, 0, 0, 0, -1, -1]",-0.63342,0.0334199905395508
original,1.3,0.9,"[0, 2, 0, 2, 2, 0, 2, 1, 2, 2]",1.2664046,0.033595371246337935
humiliate,-2.5,1.28452,"[-3, -3, -3, -3, -2, -2, -4, -3, 1, -3]",-2.4661674,0.033832550048828125
talented,2.3,0.64031,"[1, 2, 2, 3, 2, 3, 3, 2, 3, 2]",2.265965,0.034035015106200994
wellhole,-0.1,0.3,"[0, 0, 0, -1, 0, 0, 0, 0, 0, 0]",-0.06584835,0.03415164947509766
moan,-0.6,1.62481,"[-2, -1, 0, -3, 2, -2, 0, 0, -2, 2]",-0.63417625,0.03417625427246096
fraudulent,-2.2,0.6,"[-2, -3, -2, -2, -2, -1, -3, -3, -2, -2]",-2.2341824,0.03418235778808576
pleasers,1.0,1.0,"[1, 1, 2, 0, 1, 3, 1, 1, -1, 1]",0.96578836,0.03421163558959961
violations,-2.4,0.66332,"[-2, -2, -2, -3, -2, -4, -2, -2, -2, -3]",-2.4344864,0.03448638916015634
hindrance,-1.7,0.78102,"[-2, -3, -2, -1, -1, -1, -3, -1, -2, -1]",-1.6654248,0.03457517623901363
peacefulness,2.1,0.83066,"[3, 2, 1, 2, 3, 1, 3, 3, 1, 2]",2.134924,0.03492393493652335
combat,-1.4,1.0198,"[0, -2, 0, -2, -2, -2, -1, -3, 0, -2]",-1.3648825,0.03511753082275382
lowballing,-0.7,0.78102,"[-2, -1, -1, 1, 0, -1, -1, 0, -1, -1]",-0.6645651,0.03543491363525386
perverter,-1.7,1.48661,"[-3, -4, -2, -2, -1, -1, 2, -2, -2, -2]",-1.6644065,0.0355934619903564
hated,-3.2,0.6,"[-3, -3, -4, -3, -2, -3, -3, -4, -4, -3]",-3.164375,0.03562493324279803
niceness,1.6,0.66332,"[1, 1, 3, 2, 1, 1, 2, 2, 2, 1]",1.6357245,0.035724544525146396
friended,1.7,0.78102,"[2, 2, 1, 3, 1, 1, 2, 3, 1, 1]",1.7357612,0.03576116561889653
prizefights,0.3,0.78102,"[1, 2, 0, 0, -1, 0, 0, 1, 0, 0]",0.26410866,0.035891342163085926
dumpling,0.4,0.91652,"[0, 0, 1, 0, -1, 2, 2, 0, 0, 0]",0.3638401,0.03615989685058596
inquisition,-1.2,1.249,"[-2, 1, -1, 0, 0, -3, -1, -3, -2, -1]",-1.1638122,0.036187839508056596
compassionate,2.2,0.87178,"[0, 3, 3, 2, 2, 3, 3, 2, 2, 2]",2.2365193,0.036519336700439275
regretting,-1.7,0.78102,"[-3, -2, -2, -1, -3, -1, -1, -1, -2, -1]",-1.7367523,0.036752271652221724
teasels,-0.1,0.3,"[0, 0, 0, 0, 0, 0, 0, 0, -1, 0]",-0.13713789,0.03713788986206054
stops,-0.6,0.8,"[-1, -1, 0, 0, -2, 0, -2, 0, 0, 0]",-0.5626259,0.03737411499023435
